WGTP,NP,RMSP,BDSP,HHT2,BATH,HHT,ACCESS,KIT,R65,R18,FES,R60,TEN,PUMA,ST,
38,6,5,3,1,1,1,1,1,0,1,2,0,3,4110,36,
57,2,4,1,12,1,5,1,1,0,0,0,1,2,4110,36,
236,5,6,3,7,1,3,1,1,0,1,7,0,3,4110,36,
244,9,5,2,1,1,1,1,1,0,1,1,0,1,4110,36,
55,1,3,1,5,1,6,1,1,0,0,0,0,3,4110,36,
66,3,6,3,3,1,3,1,1,0,1,7,0,2,4110,36,
53,4,4,2,1,1,1,1,1,0,1,1,0,3,4110,36,
68,1,1,0,5,1,6,1,1,0,0,0,0,3,4110,36,
53,2,3,1,4,1,5,1,1,0,0,0,0,3,4110,36,
162,1,3,1,5,1,6,1,1,1,0,0,1,1,4110,36,
152,4,5,3,1,1,1,1,1,0,1,2,0,3,4110,36,
88,0,4,2,0,1,0,0,1,-1,-1,0,-1,0,4110,36,
119,4,5,3,2,1,1,1,1,0,0,1,0,1,4110,36,
51,5,4,3,1,1,1,1,1,1,1,2,1,3,4110,36,
137,2,5,3,2,1,1,1,1,0,0,3,0,1,4110,36,
79,3,4,2,2,1,1,1,1,0,0,1,0,1,4110,36,
46,2,13,5,2,1,1,1,1,1,0,4,2,1,4110,36,
42,1,5,2,5,1,6,3,1,1,0,0,1,1,4110,36,
38,6,4,2,1,1,1,1,1,0,1,1,0,2,4110,36,
149,4,4,2,6,1,3,1,1,0,1,7,0,3,4110,36,
